epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2657,1.39566,4.80747,1.52202,0.40864,0.20526,0.1962,0.14389,0.94749,2.64872,1.17502,0.002,0.002,0.002
2,19.7888,1.18485,2.06005,1.3125,0.5335,0.62587,0.64164,0.47475,0.92539,1.71522,1.13453,0.00409594,0.00409594,0.00409594
3,27.639,1.12135,1.31709,1.23602,0.51699,0.50003,0.50156,0.33514,1.16059,1.92112,1.28247,0.00618772,0.00618772,0.00618772
4,35.2459,1.13614,1.18034,1.2506,0.50616,0.59118,0.53683,0.35027,1.21649,2.83396,1.37624,0.00827535,0.00827535,0.00827535
5,42.9182,1.20126,1.20848,1.28015,0.41402,0.44013,0.36695,0.1938,1.67906,3.09634,1.97822,0.0099604,0.0099604,0.0099604
6,50.5422,1.23601,1.23809,1.31043,0.29835,0.09754,0.06026,0.02323,2.40253,5.00547,3.32621,0.0099505,0.0099505,0.0099505
7,58.2387,1.23856,1.19197,1.31283,0.37392,0.29957,0.19468,0.08772,2.1896,4.43599,3.30383,0.0099406,0.0099406,0.0099406
8,65.9266,1.2419,1.15955,1.32568,0.53179,0.32726,0.31088,0.18167,1.47272,3.42595,1.72654,0.0099307,0.0099307,0.0099307
9,73.5934,1.23038,1.1197,1.30944,0.47711,0.43712,0.36498,0.23791,1.20047,2.97875,1.43449,0.0099208,0.0099208,0.0099208
10,81.2609,1.24579,1.10775,1.31587,0.60064,0.41326,0.47173,0.28573,1.30983,2.57691,1.51961,0.0099109,0.0099109,0.0099109
11,88.9324,1.21332,1.07516,1.30017,0.51819,0.46907,0.4556,0.22904,1.68206,3.18435,1.90244,0.009901,0.009901,0.009901
12,96.6316,1.21528,1.05891,1.29737,0.61649,0.54642,0.60552,0.38546,1.27755,1.8941,1.49158,0.0098911,0.0098911,0.0098911
13,104.366,1.20475,1.04129,1.29123,0.59835,0.60731,0.646,0.39594,1.2344,2.6544,1.46224,0.0098812,0.0098812,0.0098812
14,112.066,1.19118,0.9927,1.29586,0.64905,0.68417,0.7204,0.44252,1.32455,1.55717,1.56894,0.0098713,0.0098713,0.0098713
15,119.703,1.17035,0.9986,1.2718,0.73798,0.63616,0.73188,0.45526,1.37586,1.31075,1.49169,0.0098614,0.0098614,0.0098614
16,127.36,1.15365,0.94713,1.26251,0.85639,0.74314,0.85476,0.61053,1.03914,0.89446,1.22878,0.0098515,0.0098515,0.0098515
