timestamp,product,track_id
0:00:04.466667,Kvikk Lunsj (7622210410337),4
0:00:10.066667,Pepsi Max (7044610874661),6
0:00:17.600000,Egg 12pk (7039610000318),1
0:00:25.133333,Red Bull SF (90433924),12
0:00:28.133333,Red Bull SF (90433924),14
0:00:32.733333,Red Bull Reg (90433917),20
0:00:42.266667,Cottage Cheese (7038010054488),27
0:00:43.333333,Q Yoghurt (7048840205868),28
0:00:53.600000,Norvegia (7038010013966),32
0:00:58.466667,Skinke (7037206100022),36
0:01:08.400000,Norvegia (7038010013966),42
0:01:13.200000,Kaffe Evergood (7040913336684),44
0:01:20.733333,Q Yoghurt (7048840205868),47
0:01:27.800000,Leverpostei (7037203626563),51
0:01:35,Karbonadedeig (7020097009819),53
0:01:41.333333,YT Vanilje (7038010068980),57
0:01:41.933333,Red Bull SF (90433924),58
0:01:47.733333,Egg 12pk (7039610000318),63
0:01:58.733333,Banan Øko (94011),68
0:02:08.333333,Epler Røde (4015),70
0:02:25.800000,Ruccula (7023026089401),76
0:02:33.266667,Gulrot 750g (7040513000022),79
0:02:48.400000,Kaffe Evergood (7040913336684),88
0:02:57.333333,Banan (4011),92
