timestamp,product,track_id
0:00:01.900000,Karbonadedeig (7020097009819),2
0:00:05.500000,Red Bull Reg (90433917),5
0:00:09.733333,Norvegia (7038010013966),9
0:00:16.566667,Paprika (4088),14
0:00:21.466667,Skinke (7037206100022),19
0:00:25.533333,YT Vanilje (7038010068980),23
0:00:26.200000,Cottage Cheese (7038010054488),24
0:00:30.633333,Banan (4011),22
0:00:34.333333,Kaffe Evergood (7040913336684),28
0:00:38.700000,Red Bull Reg (90433917),32
0:00:46.466667,Red Bull SF (90433924),41
0:00:52.466667,Red Bull SF (90433924),44
0:00:56.533333,Kaffe Evergood (7040913336684),45
0:01:00.966667,Banan (4011),51
0:01:07.400000,Epler Røde (4015),55
0:01:14.966667,Red Bull Reg (90433917),61
0:01:17.300000,Red Bull Reg (90433917),63
0:01:21.566667,Red Bull SF (90433924),65
0:01:29.266667,Red Bull SF (90433924),71
0:01:29.466667,Red Bull Reg (90433917),69
